,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,URL,Title,Content Guidance,Suggested Title,State,Assignment,Jira Epic ,Notes
43,43,43,43,43,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/play-areas/,MDWFP - Play Areas,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
44,44,44,44,44,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/park-gatehouse-and-entrance/,MDWFP - Park Gatehouse and Entrance,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
45,45,45,45,45,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/disc-golf-and-compass-course/,MDWFP - Disc Golf and Compass Course,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Disc Golf,,,,
46,46,46,46,46,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/camping/,MDWFP - Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
47,47,47,47,47,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
48,48,48,48,48,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/swimming-pool/,MDWFP - Swimming Pool,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
49,49,49,49,49,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/bear-creek-canoe-float-trip/,MDWFP - Bear Creek Canoe Float Trip,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
50,50,50,50,50,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/lodge-and-picnic-facilities/,MDWFP - Lodge and Picnic Facilities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,The Lodge and Picnic Facilities,,,,
51,51,51,51,51,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/group-camp/,MDWFP - Group Camp,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
52,52,52,52,52,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/cabins/,MDWFP - Cabins,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
53,53,53,53,53,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/park-photos/,MDWFP - Park Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
54,54,54,54,54,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/hiking-trails-and-rock-climbing/,MDWFP - Hiking Trails and Rock Climbing,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
55,55,55,55,55,https://www.mdwfp.com/parks-destinations/state-parks/tishomingo/haynes-lake/,MDWFP - Haynes Lake,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
56,56,56,56,56,https://www.mdwfp.com/parks-destinations/state-parks/legion/,MDWFP - Legion,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Legion State Park ,,,,
57,57,57,57,57,https://www.mdwfp.com/parks-destinations/state-parks/legion/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
58,58,58,58,58,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/,MDWFP - Buccaneer,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Buccaneer State Park ,,,,
59,59,59,59,59,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/waterpark/,MDWFP - Waterpark,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Buccaneer Bay,,,,
60,60,60,60,60,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/bathhouse/,MDWFP - Bathhouse,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Bathhouses,,,,
61,61,61,61,61,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/developed-camping/,MDWFP - Developed Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
62,62,62,62,62,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/playground/,MDWFP - Playground,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
63,63,63,63,63,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/disc-golf/,MDWFP - Disc Golf,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Jackson's Ridge Disc Golf,,,,
64,64,64,64,64,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/nature-trail/,MDWFP - Nature Trail,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Pirate's Alley Nature Trail,,,,
65,65,65,65,65,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/laundry-facility/,MDWFP - Laundry Facility,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
66,66,66,66,66,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/pavilion/,MDWFP - Pavilion,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Pavilions,,,,
67,67,67,67,67,https://www.mdwfp.com/parks-destinations/state-parks/buccaneer/recreation-center/,MDWFP - Recreation Center,Significant consolidation and re-org of the park pages. See design guidance and content script. ,"Activity Building, Campstore, and Activity Pool",,,,
68,68,68,68,68,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/,MDWFP - Roosevelt,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Roosevelt State Park ,,,,
69,69,69,69,69,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
70,70,70,70,70,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/cabins-and-motel/,MDWFP - Cabins and Motel,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
71,71,71,71,71,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/livingston-center/,MDWFP - Livingston Center,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Livingston Performing Arts & Media Center,,,,
72,72,72,72,72,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/camping/,MDWFP - Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
73,73,73,73,73,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/picnic-area/,MDWFP - Picnic Area,Significant consolidation and re-org of the park pages. See design guidance and content script. ,"Picnic Area, Pavilions, Playgrounds, and Nature Trails",,,,
74,74,74,74,74,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/softball-and-tennis/,MDWFP - Softball and Tennis,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
75,75,75,75,75,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/fishing-and-boating/,MDWFP - Fishing and Boating,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
76,76,76,76,76,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/group-camp/,MDWFP - Group Camp,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
77,77,77,77,77,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/swimming-pool-and-water-slide/,MDWFP - Swimming Pool and Water Slide,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
78,78,78,78,78,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/visitor-center/,MDWFP - Visitor Center,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
79,79,79,79,79,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/disc-golf/,MDWFP - Disc Golf,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
80,80,80,80,80,https://www.mdwfp.com/parks-destinations/state-parks/roosevelt/park-photos/,MDWFP - Park Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
81,81,81,81,81,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/,MDWFP - Tombigbee,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Tombigbee State Park ,,,,
82,82,82,82,82,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/visitor-center/,MDWFP - Visitor Center,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
83,83,83,83,83,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/group-camp/,MDWFP - Group Camp,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
84,84,84,84,84,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/disc-golf/,MDWFP - Disc Golf,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
85,85,85,85,85,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/cabins/,MDWFP - Cabins,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
86,86,86,86,86,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/picnic-and-play-areas/,MDWFP - Picnic and Play Areas,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
87,87,87,87,87,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/camping/,MDWFP - Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
88,88,88,88,88,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/fishing-and-boat-launch/,MDWFP - Fishing and Boat Launch,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
89,89,89,89,89,https://www.mdwfp.com/parks-destinations/state-parks/tombigbee/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
90,90,90,90,90,https://www.mdwfp.com/parks-destinations/state-parks/clark-creek/,MDWFP - Clark Creek,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Clark Creek State Park ,,,,
91,91,91,91,91,https://www.mdwfp.com/parks-destinations/state-parks/john-w-kyle/,MDWFP - John W. Kyle,Significant consolidation and re-org of the park pages. See design guidance and content script. ,John W. Kyle State Park ,,,,
92,92,92,92,92,https://www.mdwfp.com/parks-destinations/state-parks/john-w-kyle/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
93,93,93,93,93,https://www.mdwfp.com/parks-destinations/state-parks/john-w-kyle/developed-camping/,MDWFP - Developed Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
94,94,94,94,94,https://www.mdwfp.com/parks-destinations/state-parks/john-w-kyle/cabins/,MDWFP - Cabins,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
95,95,95,95,95,https://www.mdwfp.com/parks-destinations/state-parks/florewood/,MDWFP - Florewood,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Florewood State Park ,,,,
96,96,96,96,96,https://www.mdwfp.com/parks-destinations/state-parks/golden-memorial/,MDWFP - Golden Memorial,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Golden Memorial State Park ,,,,
97,97,97,97,97,https://www.mdwfp.com/parks-destinations/state-parks/golden-memorial/facilities/,MDWFP - Facilities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
98,98,98,98,98,https://www.mdwfp.com/parks-destinations/state-parks/golden-memorial/water-activities/,MDWFP - Water Activities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
99,99,99,99,99,https://www.mdwfp.com/parks-destinations/state-parks/natchez/,MDWFP - Natchez,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Natchez State Park ,,,,
100,100,100,100,100,https://www.mdwfp.com/parks-destinations/state-parks/natchez/tent-camping/,MDWFP - Tent Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
101,101,101,101,101,https://www.mdwfp.com/parks-destinations/state-parks/natchez/water-activities/,MDWFP - Water Activities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
102,102,102,102,102,https://www.mdwfp.com/parks-destinations/state-parks/natchez/developed-camping/,MDWFP - Developed Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
103,103,103,103,103,https://www.mdwfp.com/parks-destinations/state-parks/natchez/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
104,104,104,104,104,https://www.mdwfp.com/parks-destinations/state-parks/natchez/vacation-cabins/,MDWFP - Vacation Cabins,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
105,105,105,105,105,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/,MDWFP - J.P. Coleman,Significant consolidation and re-org of the park pages. See design guidance and content script. , J.P. Coleman State Park ,,,,
106,106,106,106,106,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/lodging/,MDWFP - Lodging,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
107,107,107,107,107,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/day-use-area/,MDWFP - Day Use Area,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
108,108,108,108,108,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/rv-campground-and-primitive-camping/,MDWFP - RV Campground and Primitive Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
109,109,109,109,109,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/fishing-boating-and-marina/,"MDWFP - Fishing, Boating, and Marina",Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
110,110,110,110,110,https://www.mdwfp.com/parks-destinations/state-parks/jp-coleman/visitor-and-conference-center/,MDWFP - Visitor and Conference Center,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
111,111,111,111,111,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white/,MDWFP - Hugh White,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Hugh White State Park ,,,,
112,112,112,112,112,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white/developed-camping/,MDWFP - Developed Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
113,113,113,113,113,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white/water-activities/,MDWFP - Water Activities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
114,114,114,114,114,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white/vacation-cabins/,MDWFP - Vacation Cabins,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
115,115,115,115,115,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white/amenities/,MDWFP - Amenities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
116,116,116,116,116,https://www.mdwfp.com/parks-destinations/state-parks/hugh-white/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
117,117,117,117,117,https://www.mdwfp.com/parks-destinations/state-parks/great-river-road/,MDWFP - Great River Road,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Great River Road State Park ,,,,
118,118,118,118,118,https://www.mdwfp.com/parks-destinations/state-parks/shepard/,MDWFP - Shepard,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Shepard State Park ,,,,
119,119,119,119,119,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/,MDWFP - Leroy Percy,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Leroy Percy State Park ,,,,
120,120,120,120,120,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/developed-camping/,MDWFP - Developed Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
121,121,121,121,121,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
122,122,122,122,122,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/water-activities/,MDWFP - Water Activities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
123,123,123,123,123,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/vacation-cabins/,MDWFP - Vacation Cabins,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
124,124,124,124,124,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/group-camp/,MDWFP - Group Camp,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
125,125,125,125,125,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/hunting/,MDWFP - Hunting,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
126,126,126,126,126,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/tent-camping/,MDWFP - Tent Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
127,127,127,127,127,https://www.mdwfp.com/parks-destinations/state-parks/leroy-percy/amenities/,MDWFP - Amenities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
128,128,128,128,128,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/,MDWFP - Wall Doxey,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Wall Doxey State Park ,,,,
129,129,129,129,129,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/disc-golf/,MDWFP - Disc Golf,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
130,130,130,130,130,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/primitive-camping/,MDWFP - Primitive Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
131,131,131,131,131,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/laundry-facility/,MDWFP - Laundry Facility,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
132,132,132,132,132,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/group-camp/,MDWFP - Group Camp,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
133,133,133,133,133,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/picnic-sites-pavilions/,MDWFP - Picnic Sites / Pavilions,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
134,134,134,134,134,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/cabin-photos/,MDWFP - Cabin Photos,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
135,135,135,135,135,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/developed-camping/,MDWFP - Developed Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
136,136,136,136,136,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/playing-field-playground-equipment/,MDWFP - Playing Field Playground Equipment,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
137,137,137,137,137,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/water-activities/,MDWFP - Water Activities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
138,138,138,138,138,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/nature-trail/,MDWFP - Nature Trail,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
139,139,139,139,139,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/visitor-activity-building/,MDWFP - Visitor / Activity Building,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
140,140,140,140,140,https://www.mdwfp.com/parks-destinations/state-parks/wall-doxey/cabins-and-cottage/,MDWFP - Cabins and Cottage,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
141,141,141,141,141,https://www.mdwfp.com/parks-destinations/state-parks/trace/,MDWFP - Trace,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Trace State Park ,,,,
142,142,142,142,142,https://www.mdwfp.com/parks-destinations/state-parks/trace/developed-camping/,MDWFP - Developed Camping,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
143,143,143,143,143,https://www.mdwfp.com/parks-destinations/state-parks/trace/golf/,MDWFP - Golf,Significant consolidation and re-org of the park pages. See design guidance and content script. ,Disc Golf & Golf ,,,,
144,144,144,144,144,https://www.mdwfp.com/parks-destinations/state-parks/trace/trails/,MDWFP - Trails,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
145,145,145,145,145,https://www.mdwfp.com/parks-destinations/state-parks/trace/amenities/,MDWFP - Amenities,Significant consolidation and re-org of the park pages. See design guidance and content script. ,,,,,
